,full_text
0,wuhan china first city world devastate coronavirus long month lockdown fade f
1,complaint receive public health waless outbreak control team claim dvla worker ask turn test
2,wild thing democrats pass high priority retribution would something like statehood dc finish expand medicaid protect voter right add aca public option big covid stimulus raise minimum wage basically death panel
3,quietly change law ever chill phrase council appeal know often appeal ce
4,update mongolias prime minister resign thursday follow protest public outrage treatment coronavirus p
5,one thing son crash press conference month ago time travel
6,update ghanas covid case count january wearamaskalway washyourhandswithsoapun
7,covid start sound lot like hell change
8,anyone wonder queerness gets erase history
9,please wear mask
10,return normal wrap thatthe world never pre ac era
11,whole lockdown mood
12,hey due covid situation miaa prohibit grabcar grabtaxi pick arrive passenger naia help prevent possible covid transmission compliance w government safety protocolwe highly appreciate kind understand
13,covid start sound lot like hell change
14,I m jealous futureyou full lockdown curfew everything still coronahair
15,minimum wage finish even morela restaurant owner go viral shutter mayor garcetti join lawsuit newsomlawyer argue californias stayathome order violate business owner constitutional
16,old ballet student ask today I m excited get fauci ouchie soon refer
17,covid start sound lot like hell change
18,devastated hear migrant nhs staff risk life pandemic keep we safe
19,start monday january new rule enter norway traveler must provide negative test hour
20,old ballet student ask today I m excited get fauci ouchie soon refer
21,fact stop breathe covid would eliminate ummm oh wait
22,please wear mask
23,covid start sound lot like hell change
24,whole lockdown mood
25,oxygen shortage plunge amazon capital covid nightmare
26,maryamrajavi khameneis ban purchase vaccine crime humanity responsible th
27,covid evolve week month way flu evolve year ominous
28,covid start sound lot like hell change
29,toby young julia hartley brewer rest gang call lockdown sceptic imply cut abov
30,covid start sound lot like rihanna release new album
31,whole lockdown mood
32,please wear mask
33,minister face fury mass covid outbreak top government agency
34,new golden ruleone new thing administration do not know answer do not guess say
35,dr fauci say
36,covid evolve week month way flu evolve year ominous
37,transcript cdc update anaphylaxis flu vaccine per one million dose administeredgtanaphylaxis rate vaccine may seem high compare flu vaccinesgti want reassure still rare outcome
38,dr fauci say
39,summer suppose smh fuck covid
40,newfauci say first singledose vaccine johnson amp johnson could get emergency approval two week
41,sad recurrent theme global health high income country need investment case promise return investme
42,nobody go to patience wanna make lose time first date question love
43,pandemic classroom closure remote teamwork see cubesatca project team make progress new reality h
44,dead folk leave workforce
45,covid start sound lot like rihanna release new album
46,whole lockdown mood
47,set biden
48,bringmeadietcoke buttonwho think that s normal disagree gentleman wear nice watchserio
49,senate todo abolish filibuster pass relief convict legislate lik
50,I m hear lot hospital administrator try silence physician speak tell truth
51,many worker travel office swansea commuter belt tonia antoniazzi mp gower say
52,well shit auckland outbreak last year amp aussie outbreak recently lid put back reasonably quickly hopeful similar happen herald right know likely source that s goodamp flight home tonight plz happen
53,think willtough right uk complete lockdown tattoo artist be not open it ll happen eventually
54,uncontrolled viral spread create mutated variant covid variant may drive reinfection may become vac
55,like covid restriction liftedit miracleno actually politicalgovern
56,leader free world president biden power demand answer whoinstead make illogical
57,also do not forget rage pandemic unfortunately anytime soon
58,stage training fear speak singapore due corona virus outbreakwatch
59,biden inauguration let coronavirus miracle
60,devastated hear migrant nhs staff risk life pandemic keep we safe
61,weekend do not forget wear mask stay socially distance avoid large indoor gathering together save life
62,want able walk shop get something fit first try especially time covid actually visit shopfitte room be not option one time
63,dr simone gold jan experimental vaccine currently
64,please wear mask
65,roy matsuyama monterey california die covid oct army veteran retire government employ
66,covid start sound lot like hell change
67,weekend do not forget wear mask stay socially distance avoid large indoor gathering together save life
68,please wear mask
69,many canadian classroom open window per hour school act evidence airborne aerosol like smoke cdc amp german expert say cdnpoli onpoli cdnhealth abpoli bcpoli qcpoli nspoli nbpoli peipoli skpoli
70,family la can not find funeral home take dead relative body fill rent truck crushingly sad story b
71,lie meghan mccain lash biden fauci amazon covid hypocrisy
72,china go serious quarantine stay home convenient quarantine america
73,godiva chocolate close north american store due coronavirus pandemic via
74,republicans side coronavirus planning sue president biden executive order maskwearing
75,old ballet student ask today I m excited get fauci ouchie soon refer
76,sound advice kamalaharrisvp
77,oh ffs cbaaaa
78,please wear mask
79,test positive covid avoid exercise least week recovery may cause inflammation h
80,people keep say thousand business shut million people become unemployed pand
81,please wear mask
82,trump since last year make bad tell expertise type pandemic would
83,serious argument jury systemthis piece contain none betray woeful lev
84,weekend do not forget wear mask stay socially distance avoid large indoor gathering together save life
85,right cue biden admit highcycle pcr test produce massive covid false positive
86,ohthat convenient amnesia go pandemic level can not allow craven revisionist get away w
87,wait check campaign promise
88,reference incident one unnamed school burnaby number staff student week c
89,you re damn skippy want adult office well manage pandemic trump horrific president many way policy enrich rich crony undo everything obama that s
90,old ballet student ask today I m excited get fauci ouchie soon refer
91,like covid restriction liftedit miracleno actually politicalgovern
92,covid vaccine dose yes that s fauci shirt say vaccinate can not wait volunteer week amp next
93,covidits teethe problemsit remainersit big dealit early tellits eu
94,prepare postcovid worlda place generation meet life affordable planet protect st
95,really help last four hour lockdownhttpstcoxnulyhtxch
96,grandpa joes big covid plan he s brag year there s nothing two month
97,idea first approve mrna vaccine one two degree stop drink mate good covid anyway
98,covid start sound lot like hell change
99,teacher die wish people wear mask pandemic cobb county ga educator die cov
100,dr fauci say
101,world increasingly look country total disbelief self inflict economic catastrophe brexit h
102,covid start sound lot like one direction get back together
103,jimmys famous seafood set new goal help struggle restaurant amid pandemic
104,old ballet student ask today I m excited get fauci ouchie soon refer
105,studentathlete receive authorization start sport season finish season yo
106,refresh public service announcement pass
107,covid start sound lot like sebastiao come back
108,wake hotel industry rebuild trust customer hoteltrend traveltrend
109,hydroxychloroquine nothing lose try safe medicine covid treatme
110,we health official datum need uk variant warning
111,effect crime mcallen hit record low
112,covid start sound lot like hell change
113,watch blame we pandemic happen
114,anybody know many mp already one two dose vaccine
115,nsw government say qr code do away majority public place bad pandemic
116,iran president hassan rouhani assure saturday country carry vaccination campaign come
117,irans vaccine rollout start
118,we rank among global vaccination campaign
119,learn ever expect try get people home healthy
120,whole lockdown mood
121,yes thank god enough nuts biden office four day he s suppose already solve problem trump leave we previous wh inhabitant nothing lie pandemic biden least something
122,entrepreneur around world use pandemic launch pivot grow business
123,refresh public service announcement pass
124,saudiarabia rank globally publish coronavirus research top arab country
125,old ballet student ask today I m excited get fauci ouchie soon refer
126,watch get vaccine uaethe department health share video highlighting step get
127,call wet market origin story lie read
128,happy internationaldayofeducation oist faculty phdstudents cdc teacher oist preschooler local okinawa student scientist wide oist community contribution continue make world class learn facility
129,current condition sayre patemp chill point barometer inhgwind mph nnwcorona virus weekly statscase nepa bradfordcounty
130,please wear mask
131,check three popular tweet english science pulse tonight threadmost popular tweet one verify specialist app
132,ugh mask social distancingi guess they re go herd immunity crwinsor
133,one thing son crash press conference month ago time travel
134,personal development make lockdown jaw click become middle part girl
