,created_at,full_text,sentiment_score
0,2021-11-30 23:59:54+00:00,shocking stuff truly,-1.0
1,2021-11-30 23:59:55+00:00,biden vaccine mandate healthcare worker block nationwide judge,0.0
2,2021-11-30 23:59:55+00:00,we serious restrict spread kind public health step help though unlikely omicron yet arrive country,-0.058333333333333334
3,2021-11-30 23:59:55+00:00,never expect lifetime see dangerous pandemic devastating impact every human b,-0.5333333333333333
4,2021-11-30 23:59:55+00:00,world incredibly technology datadriven role education play edutwitter fourthindustrialrevolution digitalcitizenship techcitizenship tech digcit codebreaker,0.9
5,2021-11-30 23:59:55+00:00,human nature history teach anything civil liberty face grave risk government proclaim indef,0.0
6,2021-11-30 23:59:55+00:00,scoop strict coronaviru testing require traveler we amid omicron variant concern official al,0.0
7,2021-11-30 23:59:55+00:00,show johnson unfit lead we omicron crisis,0.0
8,2021-11-30 23:59:55+00:00,ugh mean say without heat power obvs,-0.3125
9,2021-11-30 23:59:55+00:00,good way fight new variant turn tv news notification,0.41818181818181815
10,2021-11-30 23:59:55+00:00,powell yellen class banker want keep interest rate ultra low matter think printing solution sort problem worldhi tone change day medium react omicron,0.0
11,2021-11-30 23:59:55+00:00,simple view election run nonpartisan fashion nonpartisan administrator,0.0
12,2021-11-30 23:59:55+00:00,fuck vaccine mandate guy case anyone need remind stupidity,-0.5
13,2021-11-30 23:59:55+00:00,nothing even remotely like covid modern medicine do not know come next,0.03333333333333333
14,2021-11-30 23:59:55+00:00,vintage egg basket french wire egg basket holder authentic eggs basket metal green plastic color handle retro decor france christmas holiday thanksgive gift retro blackfriday farmcountrydecor,0.09999999999999999
15,2021-11-30 23:59:55+00:00,know right everyone cautiously celebrate go mental covid panic,0.09285714285714285
16,2021-11-30 23:59:55+00:00,account temporarily unavailable violate twitter media policy learn,0.0
17,2021-11-30 23:59:55+00:00,worker power country keep go pandemic worker continue,0.0
18,2021-11-30 23:59:55+00:00,rivm health institute say find omicron sample date november amp germany also,0.0
19,2021-11-30 23:59:55+00:00,italy government forbid we demonstrate protest covid mandatesso silently walk around,0.0
20,2021-11-30 23:59:55+00:00,exploit tragedy people become victim criminal pseudomedical experiment auschwitz debate ab,-0.23750000000000002
21,2021-11-30 23:59:55+00:00,go say something lack leg washing would inappropriate action take south african country transparent european counterpart,0.03333333333333333
22,2021-11-30 23:59:55+00:00,thank everyone got vaccinate test yesterdayour thought hospital family peop,0.0
23,2021-11-30 23:59:55+00:00,few hospital million people wonder significant would nice,0.2583333333333333
24,2021-11-30 23:59:55+00:00,first omicron sequences south america uploadedthey brazil sao paolo mutations addit,0.25
25,2021-11-30 23:59:55+00:00,hear npr first pandemic human history limit factor success human behavior,0.1375
26,2021-11-30 23:59:55+00:00,gbta hold european seminar berlin omicron consideration,0.0
27,2021-11-30 23:59:55+00:00,omicron covid variant europe south african scientist detect flag world,0.0
28,2021-11-30 23:59:56+00:00,pray lebron he s immunocompromise old can not fight covid even vaccine,0.1
29,2021-11-30 23:59:56+00:00,science take time action need waitvaccine,0.1
30,2021-11-30 23:59:56+00:00,omicron pronounce like,0.0
31,2021-11-30 23:59:56+00:00,one triple vaxxed israeli physician reportedly infect another triple vaxxed physician omicron variant h,0.0
32,2021-11-30 23:59:56+00:00,covidrelated death yesterday new york city vaccination rate,0.13636363636363635
33,2021-11-30 23:59:56+00:00,laker one game friday clipper tonight next tuesday vs celtics playe,-0.2
34,2021-11-30 23:59:56+00:00,covid protocolhave vaccinate,0.0
35,2021-11-30 23:59:56+00:00,please do not compare covid analyst film editor one actually talent crucial part creative film process,0.16666666666666666
36,2021-11-30 23:59:56+00:00,long til people start panic buying road east cut,-0.05
37,2021-11-30 23:59:56+00:00,case portugal since start vaccine passport last month despite adult least pa,-0.06666666666666667
38,2021-11-30 23:59:56+00:00,could another lock,0.0
39,2021-11-30 23:59:56+00:00,wonder medium trying create panic around new variant covid think people vaccinate,0.13636363636363635
40,2021-11-30 23:59:56+00:00,montanas unused federal rental aid jeopardy mtpol mtnew,0.0
41,2021-11-30 23:59:56+00:00,remember be not allow sit beach bc covid,0.0
42,2021-11-30 23:59:56+00:00,exploitation one isolate tragic case sensational headline,-0.041666666666666685
43,2021-11-30 23:59:56+00:00,tomorrow eviction dayi will not move nowhere go yet worried happen p,0.0
44,2021-11-30 23:59:56+00:00,antivaccine christian broadcaster marcus lamb die covid battle via,0.0
45,2021-11-30 23:59:56+00:00,combat variant next vaccine need drive cell omicron ibrx,0.0
46,2021-11-30 23:59:56+00:00,break newsanother devastating rule biden vaccine mandate mean block statesht,-0.65625
47,2021-11-30 23:59:56+00:00,miracle new variant name less week ago apparently already test worldwide,0.006565656565656566
48,2021-11-30 23:59:56+00:00,illegal arrest netherlands greece fine unvaccinated portugal need test covid passport live fr,0.0007575757575757486
49,2021-11-30 23:59:56+00:00,corporate psychopathic greed lengthen continued pandemic keep everyone include fully vaccinate danger,0.0
50,2021-11-30 23:59:56+00:00,plastic bag recycle bin wombat cctv abattoir prostitution abolish prayer horsetraded free,0.4
51,2021-11-30 23:59:56+00:00,look like omicron reach malaysia soon rather later good prepare get booster jab offer,0.35
52,2021-11-30 23:59:56+00:00,heres story term food insecurity coin kissinger story roll covid,0.0
53,2021-11-30 23:59:56+00:00,dead ass vaccine make lose appetite regular routine,-0.1
54,2021-11-30 23:59:56+00:00,canada expand travel ban include nigeria malawi egypt previously impose ban southern afri,-0.08333333333333333
55,2021-11-30 23:59:57+00:00,first wasthis new variantthenthis variant possibly around quite whilethenthi variant mild cause heart problem thenthis variant reason sport professional collapsingso please get jab,0.16393939393939394
56,2021-11-30 23:59:57+00:00,exploit tragedy people become victim criminal pseudomedical experiment auschwitz debate ab,-0.23750000000000002
57,2021-11-30 23:59:57+00:00,human nature history teach anything civil liberty face grave risk government proclaim indefin,0.0
58,2021-11-30 23:59:57+00:00,everyone ill nowadays want tend unvaccinated care providersa federal judge block biden vaccine mandate we health worker,-0.5
59,2021-11-30 23:59:57+00:00,washington ap fda health panel endorse merck pill pave way us authorization first athome,0.25
60,2021-11-30 23:59:57+00:00,,0.0
61,2021-11-30 23:59:57+00:00,bookmark covid child tribunal inquiry,0.0
62,2021-11-30 23:59:57+00:00,biden vaccine mandate healthcare worker block nationwide judge,0.0
63,2021-11-30 23:59:57+00:00,well I ve first hand watch covid kill people mos find vaccine life saver like many vaccine past I m personally grateful,0.125
64,2021-11-30 23:59:57+00:00,covid start feel like hpv impressive never get may also nerd,1.0
65,2021-11-30 23:59:57+00:00,omicron omarion either way please get vaxxed boost like post,0.0
66,2021-11-30 23:59:57+00:00,twitter accuse bbc mislead information report coroner say individual die,0.0
67,2021-11-30 23:59:57+00:00,thread something behold good part member congress blow concept individua,0.7
68,2021-11-30 23:59:57+00:00,touching kid,0.5
69,2021-11-30 23:59:57+00:00,monocle daily amp omicron austrias plan unvaccinate eu amp uks policy,0.0
70,2021-11-30 23:59:57+00:00,thank draconian covid passport strict mask mandate world germany finally flatten curve,0.0
71,2021-11-30 23:59:57+00:00,year covid second,0.0
72,2021-11-30 23:59:57+00:00,nothing say public health like getting beat cop,0.0
73,2021-11-30 23:59:57+00:00,one first world country acknowledge know omicron put we danger,0.25
74,2021-11-30 23:59:57+00:00,new covid variant every two month like,0.13636363636363635
75,2021-11-30 23:59:57+00:00,tfw get counterschedule tumbleweed level attendance elizabeth warren,0.0
76,2021-11-30 23:59:58+00:00,covid polio,0.0
77,2021-11-30 23:59:58+00:00,many people tweet wearadamnmask genuinely annoyed omicron be not kill people they d also wear adul,0.04999999999999999
78,2021-11-30 23:59:58+00:00,omicron covid variant europe south african scientist detect flag world,0.0
79,2021-11-30 23:59:58+00:00,prof vantam warn new variant put uk risk go ten player although fairness we ve play two sea,0.06818181818181818
80,2021-11-30 23:59:58+00:00,confirm case omicron variant australia austria belgium botswana brazil canada czech republi,0.0
81,2021-11-30 23:59:58+00:00,hard describe dishonest claim biden candidate promise tame coronavirus pandemic,-0.26944444444444443
82,2021-11-30 23:59:58+00:00,judge add pandemic one even important safeguard separation power set,0.4
83,2021-11-30 23:59:58+00:00,lets go who s go cover impor,0.0
84,2021-11-30 23:59:58+00:00,owe south africa thank apology,0.0
85,2021-11-30 23:59:58+00:00,back coach youth robotic be not many charity dedicate exclusively support team start team lose season covid back mend next school year awesome,0.10833333333333334
